repo.url,repo.language
https://github.com/fabric8io/kubernetes-client,Java
https://github.com/umbraco/Umbraco-CMS,C#
https://github.com/rust-lang/regex,Rust
https://github.com/oracle/graal,Java
https://github.com/GrapheneOS/platform_frameworks_base,Java
https://github.com/apache/tvm,Python
https://github.com/OP-TEE/optee_os,C
https://github.com/JetBrains/kotlin,Kotlin
https://github.com/PHP-CS-Fixer/PHP-CS-Fixer,PHP
https://github.com/camunda/camunda,Java
https://github.com/discourse/discourse,Ruby
https://github.com/ionic-team/stencil,TypeScript
https://github.com/Jackett/Jackett,C#
https://github.com/go-gorm/gorm,Go
https://github.com/WordPress/wordpress-develop,PHP
https://github.com/vimeo/psalm,PHP
https://github.com/JetBrains/intellij-community,
https://github.com/solana-labs/solana-web3.js,TypeScript
https://github.com/element-plus/element-plus,TypeScript
https://github.com/coq/coq,OCaml
https://github.com/microsoft/vscode,TypeScript
https://github.com/saleor/saleor,Python
https://github.com/playframework/playframework,Scala
https://github.com/libretro/RetroArch,C
https://github.com/i18next/i18next,JavaScript
https://github.com/openstack/openstack,Python
https://github.com/jlord/patchwork,Rich Text Format
https://github.com/Koenkk/zigbee2mqtt,JavaScript
https://github.com/wordpress-mobile/WordPress-Android,Kotlin
https://github.com/ILIAS-eLearning/ILIAS,PHP
https://github.com/nextcloud/desktop,C++
https://github.com/lobehub/lobe-chat,TypeScript
https://github.com/dotnet/maui,C#
https://github.com/jenkinsci/jenkins,Java
https://github.com/microsoft/windows-rs,Rust
https://github.com/apache/cassandra,Java
https://github.com/Gnucash/gnucash,C
https://github.com/rstudio/rstudio,Java
https://github.com/fastlane/fastlane,Ruby
https://github.com/reduxjs/react-redux,TypeScript
https://github.com/open-telemetry/opentelemetry-collector,Go
https://github.com/department-of-veterans-affairs/va.gov-team,HTML
https://github.com/chronotope/chrono,Rust
https://github.com/jsdom/jsdom,JavaScript
https://github.com/fastify/fastify,JavaScript
https://github.com/idaholab/moose,C++
https://github.com/openshift/console,TypeScript
https://github.com/jquery/jquery,JavaScript
https://github.com/fwupd/fwupd,C
https://github.com/golang/tools,Go
https://github.com/openjdk/shenandoah,Java
https://github.com/conan-io/conan,Python
https://github.com/qt/qtbase,C++
https://github.com/ant-design/pro-components,TypeScript
https://github.com/spf13/viper,Go
https://github.com/AvaloniaUI/Avalonia,C#
https://github.com/isaacs/node-lru-cache,TypeScript
https://github.com/prometheus/prometheus,Go
https://github.com/sparklemotion/nokogiri,C
https://github.com/ai/nanoid,JavaScript
https://github.com/qos-ch/slf4j,Java
https://github.com/googleapis/google-api-nodejs-client,TypeScript
https://github.com/gin-gonic/gin,Go
https://github.com/wxWidgets/wxWidgets,C++
https://github.com/w3c/csswg-drafts,Bikeshed
https://github.com/containerd/containerd,Go
https://github.com/robolectric/robolectric,Java
https://github.com/svg/svgo,JavaScript
https://github.com/ImageMagick/ImageMagick,C
https://github.com/greenplum-db/gpdb,C
https://github.com/prebid/Prebid.js,JavaScript
https://github.com/elementor/elementor,PHP
https://github.com/facebook/hhvm,Hack
https://github.com/microsoft/playwright,TypeScript
https://github.com/webpack/webpack-dev-middleware,JavaScript
https://github.com/DefectDojo/django-DefectDojo,HTML
https://github.com/kubernetes/api,Go
https://github.com/home-assistant/frontend,TypeScript
https://github.com/ocaml/opam-repository,Shell
https://github.com/Sylius/Sylius,PHP
